DETAILS
================
Computername............: My_Windows_Computer
Operatingsystem.........: Microsoft Windows XP Service Pack 2
OS Product ID...........: 12345-640-1234567-23746
OS Registered Org.......: Example Company
OS Registered owner.....: Example Owner
Open-SIS Timestamp......: Mon 25 Sep 2006 12:03:34 
Open-SIS Scriptverion...: 0.0.3
==SOFTWARE===================
Windows Driver Package - Nokia Modem  (04/06/2006 6.8.0.17)|04/06/2006 6.8.0.17|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\010D072E91408D6B7C6FC65489B6D30C027605F5
TeamAsset|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\TeamAsset
ThinkPad FullScreen Magnifier|1.15|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\ThinkPad FullScreen Magnifier
Van Dale Grote woordenboeken Engels|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Van Dale Grote woordenboeken Engels
Vim 6.4 (self-installing)|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Vim 6.4
VoipBuster|2.10 build 336|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\VoipBuster_is1
VPN Client  5.1d|4.33|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\VPN Client
VPN Access Manager - iPassConnect|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\VPN Client - iPassConnect
WBS Search|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\WBS Search
Windows Media Format Runtime|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Windows Media Format Runtime
Windows Media Player 10|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Windows Media Player
WorkPace 3.0|3.00.000|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\WorkPace 3.00.14
XS4ALL-webdisk Version 4.36 2006.03.09|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\XS4ALL-webdisk_is1
XviD MPEG4 Video Codec v1.0.3 (remove only)|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\XviD MPEG4 Video Codec v1.0.3
Colligo TeamSync|3.3.0.338|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0096DA42-CACD-4749-97D1-DDBAD72679E6}
Van Dale Hedendaags Nederlands|2.01|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{02701910-CA09-4F56-9362-FBA71FA4810C}
SUN Java|1.3.1.13|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{089751D4-1C4B-4963-9EB2-EBBCEAE9C9CF}
Nokia Wireless Presenter|1.02.000|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0DFD5D24-4495-4725-866A-F811E64011D0}
Fonts|1.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{11A7A83C-C2B0-40E4-B488-B3D254DDAE86}
Microsoft SQL Server 2005 Mobile [ENU] Developer Tools|3.0.0.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{1389C6A4-4965-4AEC-9175-08B54A10FA48}
MySQL Query Browser 1.1|1.1.20|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{1444B16A-766B-4AD1-8AE8-F0C04C782E2F}
EuroReady Reckoner|1.3|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{14C847F0-B707-4B2F-8EF3-11F576DD69C7}
Visual Studio 2005 Team Suite - ENU|8.0.50727.42|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{1862162E-3BBC-448F-AA63-49F33152D54A}
MyClient 1.4.2|1.4.2|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{1EE58CC6-D34D-4FD7-B8D7-B903D42B5ECD}
ThinkPad Keyboard Customizer Utility|1.3.02.0b|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2111B23F-7FDA-4A41-8309-E5A1663CA296}
XS4ALL Softphone|1.61.306|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{21FCC702-C2B4-4952-9C26-9FAC2C5D2FFE}
Google Toolbar for Internet Explorer|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2318C2B1-4965-11d4-9B18-009027A5CD4F}
PowerPoint Toolbox|4.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{27791E79-6018-4EDE-AFCB-16652E877A4E}
Nokia PC Connectivity Solution|6.11.8.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{290749B0-1E08-427C-9E26-2CA156DC3094}
Van Dale Woordenboeken Engels|2.01|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2C45E7D5-E790-44E4-B968-B14C6BE008CA}
Microsoft ASP.NET ValidatePath Module|1.0.0.00887289|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{30EFFF0C-573D-46FB-8AD5-00887289261A}
Van Dale Woordenboeken Duits|2.01|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{321569DF-87E8-42C3-9F07-6596A0224F5A}
Microsoft Visual Studio 2005 Tools for Office Runtime|8.0.50727.42|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{388E4B09-3E71-4649-8921-F44A3A2954A7}
LicenseManager|1.4|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{3A66977F-2B6D-4488-8DAA-F6ACC346F70C}
Google Earth|4.0.1693|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{3DE5E7D4-7B88-403C-A3FD-2017A8240C5B}
UltraEdit-32|12.00a|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{43B6667D-7520-4186-B05B-F5C0494C495D}
Microsoft Document Explorer 2005|8.0.50727.42|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{44D4AF75-6870-41F5-9181-662EA05507E1}
Visage eXPert PDF |2.0.5|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{4C3478FF-62A6-44B2-ABEE-B49DC4C228E7}
SafeGuard® Easy 4.11.0|4.11.0.138|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{536521E3-389A-41B2-82E5-F61B95957CDF}
Lotus Sametime Connect 3.1 EN|3.1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{5C627690-0FE4-4FB3-9E17-FE9905A1603A}
McAfee VirusScan Enterprise|8.0.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{5DF3D1BB-894E-4DCD-8275-159AC9829B43}
Microsoft .NET Compact Framework 2.0|2.0.5238|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{625386A4-B6B6-4911-A6E8-23189C3F2D15}
AccessData Dongle Driver|1.00.000|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6447F78D-7C3A-4801-94E3-392DDB8A7FEA}
Macromedia Flash Player 8|8.0.22.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6815FCDD-401D-481E-BA88-31B4754C2B46}
Microsoft Visual J# 2.0 Redistributable Package|2.0.50727|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{68A35043-C55A-4237-88C9-37EE1C63ED71}
Lotus Notes 6.5.4|6.54.587|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6B2764B1-F062-4481-94FD-58B1C211C448}
Microsoft .NET Compact Framework 1.0 SP3 Developer|1.0.4292|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6C531060-84FB-4F96-8F33-29DF020632EB}
Microsoft .NET Framework 2.0|2.0.50727|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7131646D-CD3C-40F4-97B9-CD9E4E6262EF}
Microsoft XML 4.0 SP2 EN|4.20.9818.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{716E0306-8318-4364-8B8F-0CC4E9376BAC}
McAfee Desktop Firewall 8.0|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{718CF0D3-DCDF-428E-9F6C-258F065C8D6D}
ThinkVantage Active Protection System|1.33b|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{72806716-7088-41B2-8FA6-717A2A164DAB}
Microsoft Device Emulator version 1.0 - ENU|1.0.50727.42|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{78B75C6D-E53C-424C-BF83-4B63BD4A6682}
MacroMedia Authorware Player|7.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7ABB6A8F-DB42-46C4-BAFD-057D29632BEF}
Treinplanner|3.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7B1FA87E-96D4-44A9-A21A-038F99CD389C}
Software Update for Web Folders|9.60.6715.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7CCEBC24-62DB-4280-A8EC-BFA49F167920}
Macromedia Shockwave Player|10.1.0.011|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{7D1D6A24-65D4-454C-8815-4F08A5FFF12C}
Microsoft MapPoint Europe 2004|11.00.18.1900|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{8704D51E-25B7-4F23-81E7-AA4F54790240}
MySQL Administrator 1.1|1.1.9|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{8A2DA523-38FD-49DA-88E9-6BCDD7CCE9CF}
Microsoft Office Professional Edition 2003|11.0.7969.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90110409-6000-11D3-8CFE-0150048383C9}
Microsoft Office 2003 Proofing Tools|11.0.7969.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{901F0409-6000-11D3-8CFE-0150048383C9}
Microsoft Office Project Standard 2003|11.0.7969.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{903A0409-6000-11D3-8CFE-0150048383C9}
Microsoft Office Visio Professional 2003|11.0.7969.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90510409-6000-11D3-8CFE-0150048383C9}
ThinkPad Integrated Bluetooth IV Software|3.0.1.918|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90535871-81B9-4D99-8A13-A7EE97F2D7FE}
Microsoft Organization Chart 2.0|11.0.5614.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90AE0409-6000-11D3-8CFE-0150048383C9}
Remove Hidden Data Tool|11.0.6361.0|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90F80409-6000-11D3-8CFE-0150048383C9}
QuickTime|7.0.4|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{929408E6-D265-4174-805F-81D1D914E2A4}
ThinkPad Wireless LAN Adapters Software (11a/b, 11b/g, 11a/b/g)|4.1.102.133|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{9FAC9E5C-0D20-4DBF-AFE5-2E09C52A95A2}
